[2025-12-21T04:53:16.198478] id=293: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.199422] id=294: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.200181] id=295: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.200664] id=296: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.201416] id=297: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.202048] id=298: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.202413] id=299: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.202792] id=300: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.203095] id=301: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.203388] id=302: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.203739] id=303: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.204062] id=304: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.204629] id=305: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.205118] id=306: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.205511] id=307: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.205942] id=308: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.206275] id=309: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.206604] id=310: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.207126] id=311: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.207713] id=312: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.208095] id=313: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.208611] id=314: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.209016] id=315: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.209396] id=316: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.209708] id=317: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.210101] id=318: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.210439] id=319: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.210785] id=320: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.211133] id=321: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.211534] id=322: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.211883] id=323: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.212193] id=324: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.212478] id=325: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.212738] id=326: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.212995] id=327: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.213286] id=328: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.213559] id=329: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.213855] id=330: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.214132] id=331: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.214388] id=332: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.214673] id=333: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.214931] id=334: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.215207] id=335: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.215470] id=336: "Braço pitman Usinado" -> "Braço pitman - Usinado"
[2025-12-21T04:53:16.215719] id=337: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.215971] id=338: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.216224] id=339: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.216499] id=340: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.216762] id=341: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.217013] id=342: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.217337] id=343: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.217579] id=344: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.217827] id=345: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.218068] id=346: "SEM-FIM Bruto" -> "SEM-FIM - Bruto"
[2025-12-21T04:53:16.218311] id=347: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.218539] id=348: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.218762] id=349: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.218997] id=350: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.219381] id=351: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.219662] id=352: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.219910] id=353: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.220157] id=354: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.220402] id=355: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.220658] id=356: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.220913] id=357: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.221167] id=358: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.221433] id=359: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.221682] id=360: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
[2025-12-21T04:53:16.221937] id=361: "SEM-FIM Usinado" -> "SEM-FIM - Usinado"
